ProductID,ProductName,Category,Price,QuantitySold,Revenue,State,DateSold,Discount,SellerID
1,Laptop,Electronics,1200,5,6000,California,2023-01-01,0,101
2,Phone,Electronics,800,10,8000,New York,2023-01-02,0.05,102
3,Desk,Furniture,300,3,900,Florida,2023-01-03,0,103
4,Chair,Furniture,100,10,1000,Texas,2023-01-04,0,104
5,Book,Books,20,15,300,Massachusetts,2023-01-05,0,105
6,TV,Electronics,600,4,2400,Illinois,2023-01-06,0.1,106
7,Monitor,Electronics,250,5,1250,New Jersey,2023-01-07,0,107
8,Mouse,Electronics,50,20,1000,Washington,2023-01-08,0,108
9,Keyboard,Electronics,100,10,1000,Ohio,2023-01-09,0.05,109
10,Backpack,Fashion,80,8,640,Georgia,2023-01-10,0,110
11,Shoes,Fashion,120,6,720,Michigan,2023-01-11,0,111
12,Watch,Fashion,300,2,600,Pennsylvania,2023-01-12,0.1,112
13,Fridge,Appliances,1500,1,1500,Colorado,2023-01-13,0,113
14,Oven,Appliances,1000,2,2000,North Carolina,2023-01-14,0,114
15,Washing Machine,Appliances,800,1,800,Arizona,2023-01-15,0,115
16,Blender,Appliances,150,5,750,Virginia,2023-01-16,0,116
17,Headphones,Electronics,200,4,800,Oregon,2023-01-17,0,117
18,Speakers,Electronics,120,3,360,Nevada,2023-01-18,0.1,118
19,Notebook,Books,15,20,300,Connecticut,2023-01-19,0,119
20,Tablet,Electronics,500,3,1500,Maryland,2023-01-20,0,120
